Fecha;Paí;Marca;Cliente; Ingresos ; Gastos 
1/01/2020;Chile;NexTec;Instituciones educativas; $4,613.76 ; $3,456.00 
1/01/2020;Chile;Innovatech;Consumidores finales; $33,615.00 ; $14,566.50 
1/01/2020;Chile;Cybernova;Sector públic; $115,952.32 ; $86,274.05 
1/01/2020;Méxic;NeuroNet;Pequeñas y medianas empresa; $132,046.20 ; $111,150.00 
1/01/2020;Uruguay;NeuroNet;Grandes clientes; $19,914.88 ; $15,398.10 
3/01/2020;Méxic;Cybernova;Sector públic; $598,878.00 ; $453,960.00 
3/01/2020;Argentina;Innovatech;Pequeñas y medianas empresa; $667,715.40 ; $562,050.00 
4/01/2020;Per�;NexTec;Sector públic; $45,046.80 ; $23,220.00 
4/01/2020;Uruguay;Cybernova;Sector públic; $125,697.31 ; $67,579.20 
5/01/2020;Argentina;OmegaTech;Consumidores finales; $193,895.31 ; $179,245.44 
5/01/2020;Uruguay;NexTec;Grandes clientes; $23,523.05 ; $18,970.20 
7/01/2020;Méxic;Innovatech;Consumidores finales; $249,243.75 ; $227,880.00 
7/01/2020;Méxic;Innovatech;Grandes clientes; $4,590.00 ; $4,050.00 
8/01/2020;Per�;Cybernova;Consumidores finales; $214,808.37 ; $184,248.00 
9/01/2020;Méxic;NeuroNet;Pequeñas y medianas empresa; $418,586.45 ; $352,345.50 
10/01/2020;Méxic;NexTec;Consumidores finales; $314,921.25 ; $304,668.00 
10/01/2020;Uruguay;Innovatech;Sector públic; $16,599.24 ; $8,469.00 
11/01/2020;Argentina;NexTec;Consumidores finales; $853,357.59 ; $788,881.68 
11/01/2020;Uruguay;Innovatech;Pequeñas y medianas empresa; $1,883,912.90 ; $1,688,094.00 
13/01/2020;Uruguay;NeuroNet;Consumidores finales; $39,440.77 ; $17,091.00 
14/01/2020;Méxic;Innovatech;Instituciones educativas; $112,706.10 ; $75,137.40 
14/01/2020;Per�;NexTec;Sector públic; $26,631.36 ; $13,315.68 
15/01/2020;Méxic;NeuroNet;Grandes clientes; $68,646.29 ; $53,077.03 
16/01/2020;Chile;Cybernova;Sector públic; $29,326.35 ; $22,524.08 
17/01/2020;Chile;NeuroNet;Consumidores finales; $113,345.48 ; $96,228.00 
17/01/2020;Uruguay;OmegaTech;Pequeñas y medianas empresa; $325,306.80 ; $297,900.00 
18/01/2020;Argentina;NexTec;Instituciones educativas; $30,270.24 ; $22,932.00 
19/01/2020;Argentina;OmegaTech;Grandes clientes; $37,634.51 ; $33,206.92 
20/01/2020;Per�;NeuroNet;Instituciones educativas; $49,630.32 ; $33,086.88 
20/01/2020;Per�;Cybernova;Consumidores finales; $549,917.31 ; $354,042.00 
20/01/2020;Chile;NexTec;Grandes clientes; $147,622.54 ; $119,050.44 
21/01/2020;Per�;Innovatech;Consumidores finales; $271,753.38 ; $265,998.60 
21/01/2020;Per�;Innovatech;Grandes clientes; $17,444.70 ; $14,377.50 
22/01/2020;Per�;Cybernova;Instituciones educativas; $12,163.00 ; $9,009.63 
23/01/2020;Méxic;NeuroNet;Grandes clientes; $3,852.36 ; $3,321.00 
24/01/2020;Méxic;OmegaTech;Sector públic; $55,172.72 ; $30,995.91 
24/01/2020;Argentina;Cybernova;Grandes clientes; $48,100.38 ; $38,377.96 
24/01/2020;Méxic;Innovatech;Grandes clientes; $42,070.30 ; $33,927.66 
26/01/2020;Argentina;NeuroNet;Pequeñas y medianas empresa; $590,733.00 ; $579,150.00 
27/01/2020;Argentina;NexTec;Sector públic; $92,277.21 ; $53,649.54 
28/01/2020;Per�;Innovatech;Sector públic; $401,126.99 ; $342,505.80 
28/01/2020;Méxic;Innovatech;Sector públic; $118,571.07 ; $68,936.67 
29/01/2020;Chile;OmegaTech;Sector públic; $721,299.60 ; $615,888.00 
29/01/2020;Uruguay;Cybernova;Pequeñas y medianas empresa; $547,649.10 ; $490,725.00 
30/01/2020;Argentina;NexTec;Consumidores finales; $311,139.07 ; $301,008.96 
30/01/2020;Chile;NexTec;Sector públic; $2,784,216.46 ; $2,377,327.68 
31/01/2020;Argentina;Cybernova;Instituciones educativas; $16,854.08 ; $11,236.05 
31/01/2020;Argentina;NexTec;Instituciones educativas; $99,493.07 ; $76,239.90 
31/01/2020;Per�;OmegaTech;Instituciones educativas; $72,371.63 ; $56,102.04 
31/01/2020;Chile;NexTec;Sector públic; $67,229.73 ; $34,654.50 
31/01/2020;Uruguay;Cybernova;Sector públic; $14,776.78 ; $12,132.00 
1/02/2020;Uruguay;Innovatech;Sector públic; $8,308.57 ; $6,313.50 
1/02/2020;Argentina;OmegaTech;Sector públic; $821,303.85 ; $670,452.12 
3/02/2020;Per�;NeuroNet;Consumidores finales; $99,069.23 ; $85,860.00 
3/02/2020;Argentina;NeuroNet;Grandes clientes; $14,346.88 ; $11,092.95 
5/02/2020;Argentina;NeuroNet;Sector públic; $81,841.97 ; $43,074.72 
5/02/2020;Per�;NexTec;Sector públic; $599,248.44 ; $483,865.20 
6/02/2020;Chile;Innovatech;Instituciones educativas; $59,847.12 ; $39,898.08 
8/02/2020;Chile;NexTec;Consumidores finales; $309,099.32 ; $292,239.36 
8/02/2020;Argentina;NexTec;Sector públic; $1,043,280.00 ; $807,300.00 
8/02/2020;Uruguay;NeuroNet;Sector públic; $617,678.27 ; $498,746.43 
8/02/2020;Méxic;NeuroNet;Pequeñas y medianas empresa; $611,914.50 ; $586,125.00 
8/02/2020;Chile;NeuroNet;Grandes clientes; $24,942.06 ; $19,691.10 
9/02/2020;Uruguay;Cybernova;Instituciones educativas; $42,725.08 ; $32,739.53 
9/02/2020;Méxic;NexTec;Grandes clientes; $12,046.71 ; $9,219.42 
